    1       53360756    8   26
    2       53360755    8   25
    3       53360754    8   24
    4       53360746    9   26
    5       53360745    9   25
    6       53360744    9   24
    7       53360743    9   23
    8       53360742    9   22
    9       53360741    9   21
   10       53360737   10   27
   11       53360736   10   26
   12       53360735   10   25
   13       53360734   10   24
   14       53360733   10   23
   15       53360732   10   22
   16       53360731   10   21
   17       53360730   10   20
   18       53360727   11   27
   19       53360726   11   26
   20       53360725   11   25
   21       53360724   11   24
   22       53360723   11   23
   23       53360722   11   22
   24       53360721   11   21
   25       53360720   11   20
   26       53360717   12   27
   27       53360716   12   26
   28       53360715   12   25
   29       53360714   12   24
   30       53360713   12   23
   31       53360712   12   22
   32       53360711   12   21
   33       53360710   12   20
   34       53360707   13   27
   35       53360706   13   26
   36       53360705   13   25
   37       53360704   13   24
   38       53360703   13   23
   39       53360702   13   22
   40       53360701   13   21
   41       53360700   13   20
   42       53360629   11   19
   43       53360619   12   19
   44       53360618   12   18
   45       53360609   13   19
   46       53360608   13   18
   47       52377082   15   32
   48       52377081   15   31
   49       52377080   15   30
   50       52377071   16   31
   51       52377070   16   30
   52       52377061   17   31
   53       52377060   17   30
   54       52377031   20   31
   55       52377030   20   30
   56       52377021   21   31
   57       52377020   21   30
   58       52377011   22   31
   59       52377010   22   30
   60       52377001   23   31
   61       52377000   23   30
   62       52376090   24   30
   63       52367798   14   28
   64       52367797   14   27
   65       52367796   14   26
   66       52367795   14   25
   67       52367794   14   24
   68       52367793   14   23
   69       52367792   14   22
   70       52367791   14   21
   71       52367790   14   20
   72       52367789   15   29
   73       52367788   15   28
   74       52367787   15   27
   75       52367786   15   26
   76       52367785   15   25
   77       52367784   15   24
   78       52367783   15   23
   79       52367782   15   22
   80       52367781   15   21
   81       52367780   15   20
   82       52367779   16   29
   83       52367778   16   28
   84       52367777   16   27
   85       52367776   16   26
   86       52367775   16   25
   87       52367774   16   24
   88       52367773   16   23
   89       52367772   16   22
   90       52367771   16   21
   91       52367770   16   20
   92       52367769   17   29
   93       52367768   17   28
   94       52367767   17   27
   95       52367766   17   26
   96       52367765   17   25
   97       52367764   17   24
   98       52367763   17   23
   99       52367762   17   22
  100       52367761   17   21
  101       52367760   17   20
  102       52367759   18   29
  103       52367758   18   28
  104       52367757   18   27
  105       52367756   18   26
  106       52367755   18   25
  107       52367754   18   24
  108       52367753   18   23
  109       52367752   18   22
  110       52367751   18   21
  111       52367750   18   20
  112       52367748   19   28
  113       52367747   19   27
  114       52367746   19   26
  115       52367745   19   25
  116       52367744   19   24
  117       52367743   19   23
  118       52367742   19   22
  119       52367741   19   21
  120       52367740   19   20
  121       52367738   20   28
  122       52367737   20   27
  123       52367736   20   26
  124       52367735   20   25
  125       52367734   20   24
  126       52367733   20   23
  127       52367732   20   22
  128       52367731   20   21
  129       52367730   20   20
  130       52367726   21   26
  131       52367725   21   25
  132       52367724   21   24
  133       52367723   21   23
  134       52367722   21   22
  135       52367721   21   21
  136       52367720   21   20
  137       52367719   22   29
  138       52367718   22   28
  139       52367716   22   26
  140       52367715   22   25
  141       52367714   22   24
  142       52367713   22   23
  143       52367712   22   22
  144       52367711   22   21
  145       52367710   22   20
  146       52367709   23   29
  147       52367708   23   28
  148       52367707   23   27
  149       52367706   23   26
  150       52367705   23   25
  151       52367704   23   24
  152       52367703   23   23
  153       52367702   23   22
  154       52367701   23   21
  155       52367700   23   20
  156       52367699   14   19
  157       52367698   14   18
  158       52367689   15   19
  159       52367688   15   18
  160       52367687   15   17
  161       52367686   15   16
  162       52367685   15   15
  163       52367679   16   19
  164       52367678   16   18
  165       52367677   16   17
  166       52367676   16   16
  167       52367675   16   15
  168       52367669   17   19
  169       52367668   17   18
  170       52367667   17   17
  171       52367666   17   16
  172       52367665   17   15
  173       52367664   17   14
  174       52367659   18   19
  175       52367658   18   18
  176       52367657   18   17
  177       52367656   18   16
  178       52367655   18   15
  179       52367654   18   14
  180       52367649   19   19
  181       52367648   19   18
  182       52367647   19   17
  183       52367646   19   16
  184       52367645   19   15
  185       52367644   19   14
  186       52367639   20   19
  187       52367638   20   18
  188       52367637   20   17
  189       52367636   20   16
  190       52367635   20   15
  191       52367629   21   19
  192       52367628   21   18
  193       52367627   21   17
  194       52367626   21   16
  195       52367625   21   15
  196       52367619   22   19
  197       52367618   22   18
  198       52367617   22   17
  199       52367616   22   16
  200       52367615   22   15
  201       52367609   23   19
  202       52367608   23   18
  203       52367607   23   17
  204       52367606   23   16
  205       52367605   23   15
  206       52366799   24   29
  207       52366798   24   28
  208       52366797   24   27
  209       52366796   24   26
  210       52366795   24   25
  211       52366794   24   24
  212       52366793   24   23
  213       52366792   24   22
  214       52366791   24   21
  215       52366790   24   20
  216       52366789   25   29
  217       52366788   25   28
  218       52366787   25   27
  219       52366786   25   26
  220       52366785   25   25
  221       52366784   25   24
  222       52366783   25   23
  223       52366782   25   22
  224       52366781   25   21
  225       52366780   25   20
  226       52366778   26   28
  227       52366777   26   27
  228       52366776   26   26
  229       52366775   26   25
  230       52366774   26   24
  231       52366773   26   23
  232       52366772   26   22
  233       52366771   26   21
  234       52366770   26   20
  235       52366768   27   28
  236       52366767   27   27
  237       52366766   27   26
  238       52366765   27   25
  239       52366764   27   24
  240       52366763   27   23
  241       52366762   27   22
  242       52366761   27   21
  243       52366760   27   20
  244       52366756   28   26
  245       52366752   28   22
  246       52366751   28   21
  247       52366750   28   20
  248       52366740   29   20
  249       52366730   30   20
  250       52366699   24   19
  251       52366698   24   18
  252       52366697   24   17
  253       52366696   24   16
  254       52366689   25   19
  255       52366688   25   18
  256       52366687   25   17
  257       52366686   25   16
  258       52366679   26   19
  259       52366678   26   18
  260       52366677   26   17
  261       52366676   26   16
  262       52366669   27   19
  263       52366668   27   18
  264       52366667   27   17
  265       52366659   28   19
  266       52366658   28   18
  267       52366657   28   17
  268       52366649   29   19
  269       52366648   29   18
  270       52366647   29   17
  271       52366646   29   16
  272       52366639   30   19
  273       52366638   30   18
  274       52366637   30   17
  275       52366636   30   16
  276       52366629   31   19
  277       52366628   31   18
  278       52366627   31   17
  279       52366626   31   16
  280       52366618   32   18
  281       52366617   32   17
  282       52366616   32   16
  283       52366607   33   17
  284       52366606   33   16
  285       52365696   34   16
  286       52365695   34   15
  287       52365687   35   17
  288       52365686   35   16
  289       52365685   35   15
  290       52365676   36   16
  291       52365675   36   15
  292       52365667   37   17
  293       52365666   37   16
  294       52365665   37   15
  295       52365657   38   17
  296       52365656   38   16
  297       52365655   38   15
  298       52365654   38   14
  299       52365647   39   17
  300       52365646   39   16
  301       52365645   39   15
  302       52365637   40   17
  303       52365636   40   16
  304       52365635   40   15
  305       52365627   41   17
  306       52365626   41   16
  307       52365625   41   15
  308       52365617   42   17
  309       52365616   42   16
  310       52365615   42   15
  311       52365607   43   17
  312       52365606   43   16
  313       52365605   43   15
  314       52364697   44   17
  315       52364696   44   16
