 2,  279,  0.130,  0.213,   27,  0.530,  0.244,   29,  0.000,  0.000,   78,  0.240,  0.141,   98,  0.490,  0.164,   78,  0.360,  0.367,
 3,  281,  0.020,  0.033,   28,  0.510,  0.235,   35,  0.770,  0.251,   87,  0.210,  0.124,   99,  0.010,  0.003,   88,  0.350,  0.357,
 4,  282,  0.000,  0.000,   29,  0.000,  0.000,   36,  0.410,  0.134,   88,  0.600,  0.353,  107,  0.000,  0.000,   89,  0.050,  0.051,
 5,,,,   35,  0.150,  0.069,   37,  0.390,  0.127,   97,  0.050,  0.029,  108,  0.860,  0.288,   98,  0.080,  0.082,
 6,,,,   36,  0.630,  0.290,   65,  0.130,  0.042,   98,  0.440,  0.259,  109,  0.540,  0.181,   99,  0.100,  0.102,
 7,,,,   37,  0.340,  0.157,   66,  0.550,  0.179,,,,  117,  0.210,  0.070,,,,
 8,,,,   66,  0.000,  0.000,   67,  0.820,  0.267,,,,  118,  0.790,  0.264,,,,
 9,,,,,,,,,,,,,,,,,,,
 10,,,,,,,,,,,,,,,,,,,
 11,,,,,,,,,,,,,,,,,,,
 12,,,,,,,,,,,,,,,,,,,
 13,,,,,,,,,,,,,,,,,,,
 14,,,,,,,,,,,,,,,,,,,
 15,,,,,,,,,,,,,,,,,,,
,
,
,
,
N,206,206,206,207,207,207,208,208,208,209,209,209,210,210,210,211,211,211,
 1,   98,  0.010,  0.008,  118,  0.180,  0.161,  118,  0.010,  0.010,   78,  0.200,  0.112,   88,  0.000,  0.000,   80,  0.010,  0.004,
 2,   99,  0.500,  0.407,  119,  0.700,  0.625,  119,  0.000,  0.000,   79,  0.480,  0.268,   89,  0.370,  0.416,   90,  0.520,  0.194,
 3,  109,  0.440,  0.358,  128,  0.240,  0.214,  127,  0.640,  0.660,   80,  0.000,  0.000,   90,  0.010,  0.011,   99,  0.040,  0.015,
 4,  110,  0.200,  0.163,,,,  128,  0.320,  0.330,   88,  0.060,  0.034,   99,  0.380,  0.427,  100,  0.770,  0.287,
 5,  118,  0.020,  0.016,,,,  135,  0.000,  0.000,   89,  0.610,  0.341,  100,  0.130,  0.146,  101,  0.190,  0.071,
 6,  119,  0.060,  0.049,,,,,,,   90,  0.310,  0.173,,,,  109,  0.050,  0.019,
 7,,,,,,,,,,  100,  0.130,  0.073,,,,  110,  0.700,  0.261,
 8,,,,,,,,,,,,,,,,  111,  0.400,  0.149,
 9,,,,,,,,,,,,,,,,,,,
 10,,,,,,,,,,,,,,,,,,,
 11,,,,,,,,,,,,,,,,,,,
 12,,,,,,,,,,,,,,,,,,,
 13,,,,,,,,,,,,,,,,,,,
 14,,,,,,,,,,,,,,,,,,,
 15,,,,,,,,,,,,,,,,,,,
,
,
,
,
N,212,212,212,213,213,213,214,214,214,215,215,215,301,301,301,302,302,302,
 1,  110,  0.160,  0.111,  128,  0.440,  0.326,  127,  0.120,  0.094,  135,  0.170,  0.354,    6,  0.040,  0.011,    3,  0.020,  0.008,
 2,  111,  0.170,  0.118,  129,  0.470,  0.348,  128,  0.020,  0.016,  136,  0.020,  0.042,   13,  0.430,  0.118,    6,  0.390,  0.159,
 3,  119,  0.290,  0.201,  135,  0.110,  0.081,  134,  0.350,  0.276,  144,  0.260,  0.542,   14,  0.310,  0.085,    7,  0.090,  0.037,
 4,  120,  0.700,  0.486,  136,  0.320,  0.237,  135,  0.780,  0.614,  145,  0.030,  0.063,   21,  0.040,  0.011,   13,  0.010,  0.004,
 5,  128,  0.030,  0.021,  145,  0.010,  0.007,  144,  0.000,  0.000,,,,   22,  0.760,  0.208,   14,  0.350,  0.142,
 6,  129,  0.090,  0.063,,,,,,,,,,   23,  0.420,  0.115,   15,  0.040,  0.016,
 7,,,,,,,,,,,,,   30,  0.020,  0.005,   22,  0.030,  0.012,
 8,,,,,,,,,,,,,   31,  0.820,  0.225,   23,  0.420,  0.171,
 9,,,,,,,,,,,,,   32,  0.210,  0.058,   24,  0.180,  0.073,
 10,,,,,,,,,,,,,   39,  0.040,  0.011,   31,  0.030,  0.012,
 11,,,,,,,,,,,,,   40,  0.560,  0.153,   32,  0.600,  0.244,
 12,,,,,,,,,,,,,,,,   33,  0.080,  0.033,
 13,,,,,,,,,,,,,,,,   40,  0.130,  0.053,
 14,,,,,,,,,,,,,,,,   41,  0.090,  0.037,
 15,,,,,,,,,,,,,,,,,,,
,
,
,
,
N,303,303,303,304,304,304,305,305,305,306,306,306,307,307,307,308,308,308,
 1,   40,  0.250,  0.130,   45,  0.140,  0.031,   81,  0.180,  0.084,  164,  0.100,  0.127,  158,  0.450,  0.180,  175,  0.020,  0.017,
 2,   41,  0.790,  0.411,   70,  0.000,  0.000,   91,  0.540,  0.251,  169,  0.300,  0.380,  159,  0.660,  0.264,  176,  0.040,  0.035,
 3,   70,  0.480,  0.250,   71,  0.630,  0.140,  101,  0.350,  0.163,  175,  0.370,  0.468,  163,  0.160,  0.064,  181,  0.270,  0.235,
 4,   71,  0.400,  0.208,   80,  0.060,  0.013,  111,  0.000,  0.000,  181,  0.020,  0.025,  164,  0.570,  0.228,  182,  0.630,  0.548,
 5,   80,  0.000,  0.000,   81,  0.760,  0.169,  168,  0.370,  0.172,,,,  169,  0.330,  0.132,  188,  0.190,  0.165,
 6,  155,  0.000,  0.000,   91,  0.070,  0.016,  174,  0.450,  0.209,,,,  175,  0.240,  0.096,,,,
 7,,,,  101,  0.010,  0.002,  175,  0.120,  0.056,,,,  181,  0.090,  0.036,,,,
 8,,,,  156,  0.590,  0.131,  181,  0.140,  0.065,,,,,,,,,,
 9,,,,  158,  0.550,  0.122,,,,,,,,,,,,,
 10,,,,  163,  0.870,  0.193,,,,,,,,,,,,,
 11,,,,  164,  0.010,  0.002,,,,,,,,,,,,,
 12,,,,  168,  0.670,  0.149,,,,,,,,,,,,,
 13,,,,  169,  0.030,  0.007,,,,,,,,,,,,,
 14,,,,  174,  0.110,  0.024,,,,,,,,,,,,,
 15,,,,,,,,,,,,,,,,,,,
,
,
,
,
N,309,309,309,310,310,310,311,311,311,312,312,312,313,313,313,314,314,314,
 1,    6,  0.020,  0.003,   33,  0.320,  0.076,  159,  0.020,  0.008,  169,  0.230,  0.068,  183,  0.100,  0.116,  161,  0.330,  0.111,
